,Expresión
429,saltar matones
430,pasar mecate
431,pelar el mecate
432,perder el chivo y el mecate
433,tener más puntas que un mecate de cerda
434,tirar del mecate
435,prender la mecha
436,largar el mejengue
437,sacarle el melado
438,sacarle el melao
439,batir la melcocha
440,estar a punto de melcocha
441,estar a punto de melcoche
442,temblar el merequetén
443,pasar por debajo de la mesa
444,tender la mesa
445,meter el ojo
446,meter de frente
447,meterle de frente
448,meter las uñas
449,dar la mocha
450,tirar palo a todo mogote
451,decir mono claro
452,estar como mono con huevo
453,andar como mono con ñema
454,irse a freír monos
455,andar a freír monos
456,mandar a freir monos
457,irse a freír mono
458,andar a freír mono
459,mandar a freir mono
460,montar un mono
461,montar cachos
462,montar la olla
463,montar un cho
464,montar un mono
465,parar un monte
466,soltarse el moño
467,llevar una morena
468,verle moscas
469,verle mosca
470,roncar los motores
471,zumbar los motores
472,caer muchacho
473,cargar con el muerto
474,tener el muerto boca abajo
475,hacer el muñeco
476,hacerse el musiú
477,nacer parado
478,echar el nepe
479,dar nota
480,barrer por donde pasa la novia
481,barrer por donde pasa la suegra
482,dar en la ñángara
483,dejar los ojos claros  y sin vista
484,dejar los ojos blancos y sin vista
485,quedarse con los ojos claros y sin vista
486,quedarse con los ojos blancos y sin vista
487,meter el ojo
488,tener el ojo pelado
489,tener los ojos pelados
490,montar la olla
491,comer orégano
492,tener la oreja parada
493,verle la oreja blanca
494,pagarla con alguien
495,pagar las verdes y las maduras
496,creer en pajaritos preñados
497,pintar pajaritos
498,tirar al pajón
499,tirarse al pajón
500,tirarse al pajonal
501,hacer la pala
502,buscar como palito de romero
503,estar en los palitos
504,poner en los palitos
505,ponerse en los palitos
506,agarrarse de ese palo
507,dar el palo
508,venir palo abajo
509,irse para la pandorga
510,ponerse las papas duras
511,estar las papas duras
512,entregar los papeles
513,perder los papeles
514,parar papelón
515,tragarse el paquete
516,tragarse un paquete
517,estar a la parada
518,parar en seco
519,pararse en seco
520,pararse en treinta y cuatro
521,parale el macho 
522,parar un monte
523,parar la oreja
524,parar papelón
525,pararle el trote
526,pararse de mano
527,partir la cochina
528,pasar aclarando
529,pasar agachado
530,pasar a alguien al otro lado
531,pasar el páramo
532,pasar el rabo
533,pasar la verada por el cachete
534,pasar por el filo
535,pasar por la vara de colgar gatos
536,pasar raqueta
537,pasarse al enemigo
538,dar la pata
539,dar pata
540,meter la pata
541,parar la pata
542,parar las patas
543,coger el patio
544,comer pavo
545,traer algo entre pecho y espalda
546,tener algo entre pecho y espalda
547,pegarle el ovejo
548,pegar el salto del tordito
549,pegar las petacas
550,pegarse la cobija
551,pisar el peine
552,morder el peine
553,estar pelando una lata
554,largar el pelero
555,botar el pelero
556,dejar el pelero
557,agarrar la pelona
558,coger pelota
559,hablar periquito
560,brincar el perol
561,mear fuera del perol
562,matar la perra
563,echarse con las petacas
564,picar adelante
565,picar los cabos
566,echarse al pico
567,estar al pie de la vaca
568,levantarse con el pie izquierdo
569,poner piedritas
570,sacar la piedra
571,tener la piedra afuera
572,tener la piedra del zamuro
573,coger pierna
574,darle pierna
575,echar la pierna
576,estar pila
577,estar pilas
578,ponerse las pilas
579,tener las pilas puestas
580,pintar pajaritos
581,hacer de un piojo un carángano
582,hacer pipí
583,ganarse la pira
584,pisar la chancleta
585,pisar el peine
586,enredar la pita
587,joder la pita
588,dar el pitazo
589,comer del mismo plato
590,echar plomo
591,dar plomo
592,llevar plomo
593,ponerse en la pomada
594,meterse en la pomada
595,estar en la pomada 
596,poner en los palitos
597,poner la torta
598,poner la vista
599,estar chivo
600,ponerse en la cabuya
601,ponerse las pilas
602,preparar el porsiacaso
603,estar fuera de pote
